report_id,date,district,state,fraud_type,severity,latitude,longitude,description
I4C-00135,2025-03-13,Indore,Madhya Pradesh,KYC Update Fraud,medium,22.71568,75.88608,Victim received a message claiming their bank/SIM KYC had expired and shared OTP/credentials on a fraudulent link or call.
I4C-00136,2024-10-29,Jaipur,Rajasthan,Digital Arrest / Impersonation of Law Enforcement,medium,26.88713,75.74377,"Victim received a video call from a caller impersonating a police/customs officer alleging a parcel or legal case in their name, and was pressured into transferring funds under threat of arrest."
I4C-00137,2024-03-02,Belagavi,Karnataka,Digital Arrest / Impersonation of Law Enforcement,medium,15.84236,74.45822,"Victim received a video call from a caller impersonating a police/customs officer alleging a parcel or legal case in their name, and was pressured into transferring funds under threat of arrest."
I4C-00138,2025-08-01,Bengaluru Urban,Karnataka,Investment / Trading Scam,high,12.97145,77.61558,Victim was added to a trading/investment group promising high guaranteed returns and lost funds after transferring an initial deposit.
I4C-00139,2023-09-06,Kanpur Nagar,Uttar Pradesh,Lottery / Prize Scam,medium,26.46731,80.3567,Victim received notification of winning a lottery/prize and was asked to pay a processing or tax fee to release it.
I4C-00140,2024-06-17,Ahmedabad,Gujarat,Online Financial Fraud (UPI/Card/Net-banking),low,23.00189,72.54934,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00141,2024-01-21,Hyderabad,Telangana,Online Financial Fraud (UPI/Card/Net-banking),high,17.35974,78.46123,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00142,2023-07-25,Mumbai,Maharashtra,Job Fraud / Work-From-Home Scam,low,19.06561,72.92694,Victim responded to a work-from-home task-based job offer and was asked to pay a registration or task-completion fee.
I4C-00143,2025-07-07,Chennai,Tamil Nadu,Job Fraud / Work-From-Home Scam,high,13.1318,80.23093,Victim responded to a work-from-home task-based job offer and was asked to pay a registration or task-completion fee.
I4C-00144,2023-06-03,Thiruvananthapuram,Kerala,Digital Arrest / Impersonation of Law Enforcement,medium,8.47814,76.91597,"Victim received a video call from a caller impersonating a police/customs officer alleging a parcel or legal case in their name, and was pressured into transferring funds under threat of arrest."
I4C-00145,2023-01-13,Mumbai,Maharashtra,Online Financial Fraud (UPI/Card/Net-banking),high,19.11261,72.87261,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00146,2023-10-17,Bengaluru Urban,Karnataka,Online Financial Fraud (UPI/Card/Net-banking),medium,12.98121,77.60659,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00147,2023-01-24,Bengaluru Urban,Karnataka,Courier / Parcel Scam,high,13.02159,77.54842,"Fraudulent call claimed a parcel addressed to the victim was intercepted at customs containing prohibited items, demanding a clearance fee."
I4C-00148,2023-03-06,Vadodara,Gujarat,KYC Update Fraud,low,22.2981,73.16838,Victim received a message claiming their bank/SIM KYC had expired and shared OTP/credentials on a fraudulent link or call.
I4C-00149,2023-11-13,Surat,Gujarat,Digital Arrest / Impersonation of Law Enforcement,medium,21.175,72.78743,"Victim received a video call from a caller impersonating a police/customs officer alleging a parcel or legal case in their name, and was pressured into transferring funds under threat of arrest."
I4C-00150,2024-08-03,Meerut,Uttar Pradesh,Courier / Parcel Scam,medium,28.94362,77.67277,"Fraudulent call claimed a parcel addressed to the victim was intercepted at customs containing prohibited items, demanding a clearance fee."
I4C-00151,2025-04-28,Chennai,Tamil Nadu,Courier / Parcel Scam,high,13.07448,80.22584,"Fraudulent call claimed a parcel addressed to the victim was intercepted at customs containing prohibited items, demanding a clearance fee."
I4C-00152,2024-02-22,Nagpur,Maharashtra,Investment / Trading Scam,high,21.18222,79.13786,Victim was added to a trading/investment group promising high guaranteed returns and lost funds after transferring an initial deposit.
I4C-00153,2025-08-01,Visakhapatnam,Andhra Pradesh,Digital Arrest / Impersonation of Law Enforcement,high,17.68022,83.18416,"Victim received a video call from a caller impersonating a police/customs officer alleging a parcel or legal case in their name, and was pressured into transferring funds under threat of arrest."
I4C-00154,2025-03-23,Ahmedabad,Gujarat,Online Financial Fraud (UPI/Card/Net-banking),high,22.9855,72.52657,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00155,2024-08-03,Bengaluru Urban,Karnataka,Job Fraud / Work-From-Home Scam,low,12.98382,77.58168,Victim responded to a work-from-home task-based job offer and was asked to pay a registration or task-completion fee.
I4C-00156,2024-02-09,Belagavi,Karnataka,Investment / Trading Scam,high,15.81688,74.45441,Victim was added to a trading/investment group promising high guaranteed returns and lost funds after transferring an initial deposit.
I4C-00157,2025-03-05,Rangareddy,Telangana,Social Media Account Takeover,medium,17.35413,78.37435,Victim's social media account was compromised and used to solicit money from their contacts.
I4C-00158,2024-03-30,Bengaluru Urban,Karnataka,Phishing (Email/SMS/Voice),medium,12.99283,77.61342,Victim received a deceptive email/SMS impersonating a bank or government body and submitted credentials on a fake site.
I4C-00159,2023-03-27,Kanpur Nagar,Uttar Pradesh,Job Fraud / Work-From-Home Scam,medium,26.46137,80.30151,Victim responded to a work-from-home task-based job offer and was asked to pay a registration or task-completion fee.
I4C-00160,2023-03-26,Pune,Maharashtra,Digital Arrest / Impersonation of Law Enforcement,medium,18.52219,73.84506,"Victim received a video call from a caller impersonating a police/customs officer alleging a parcel or legal case in their name, and was pressured into transferring funds under threat of arrest."
I4C-00161,2025-03-09,Gurugram,Haryana,Courier / Parcel Scam,medium,28.49375,77.04383,"Fraudulent call claimed a parcel addressed to the victim was intercepted at customs containing prohibited items, demanding a clearance fee."
I4C-00162,2024-05-25,Ghaziabad,Uttar Pradesh,Online Financial Fraud (UPI/Card/Net-banking),medium,28.67421,77.4665,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00163,2025-08-10,Nagpur,Maharashtra,Investment / Trading Scam,high,21.16168,79.08288,Victim was added to a trading/investment group promising high guaranteed returns and lost funds after transferring an initial deposit.
I4C-00164,2025-08-27,Hyderabad,Telangana,Job Fraud / Work-From-Home Scam,low,17.41136,78.5147,Victim responded to a work-from-home task-based job offer and was asked to pay a registration or task-completion fee.
I4C-00165,2025-10-29,Pune,Maharashtra,Investment / Trading Scam,high,18.47711,73.84256,Victim was added to a trading/investment group promising high guaranteed returns and lost funds after transferring an initial deposit.
I4C-00166,2025-11-13,New Delhi,Delhi,Digital Arrest / Impersonation of Law Enforcement,high,28.56798,77.22264,"Victim received a video call from a caller impersonating a police/customs officer alleging a parcel or legal case in their name, and was pressured into transferring funds under threat of arrest."
I4C-00167,2023-02-22,Bengaluru Urban,Karnataka,SIM Swap Fraud,high,12.99681,77.63409,"Victim's SIM was fraudulently ported/duplicated, resulting in loss of mobile network access and unauthorized OTP-based transactions."
I4C-00168,2025-10-04,Indore,Madhya Pradesh,Sextortion,low,22.76921,75.88091,Victim was coerced into payment after fraudster obtained or fabricated compromising content and threatened to circulate it.
I4C-00169,2024-03-28,Warangal,Telangana,Courier / Parcel Scam,high,18.0095,79.6298,"Fraudulent call claimed a parcel addressed to the victim was intercepted at customs containing prohibited items, demanding a clearance fee."
I4C-00170,2024-07-17,Bengaluru Urban,Karnataka,Online Financial Fraud (UPI/Card/Net-banking),high,12.95669,77.62022,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00171,2024-06-22,Faridabad,Haryana,Online Shopping / E-commerce Fraud,medium,28.40454,77.29322,"Victim did not receive goods ordered from a fraudulent e-commerce listing, or a fake refund process was used to extract further payment."
I4C-00172,2024-07-23,Kanpur Nagar,Uttar Pradesh,Online Financial Fraud (UPI/Card/Net-banking),medium,26.42364,80.31913,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00173,2025-12-22,Chennai,Tamil Nadu,Romance / Matrimonial Scam,low,13.12224,80.23757,"Victim developed an online relationship with a profile that later requested money for a claimed emergency, travel, or customs issue."
I4C-00174,2023-08-03,Bengaluru Urban,Karnataka,Job Fraud / Work-From-Home Scam,medium,13.00743,77.64122,Victim responded to a work-from-home task-based job offer and was asked to pay a registration or task-completion fee.
I4C-00175,2025-02-08,Hyderabad,Telangana,Courier / Parcel Scam,medium,17.38857,78.52236,"Fraudulent call claimed a parcel addressed to the victim was intercepted at customs containing prohibited items, demanding a clearance fee."
I4C-00176,2023-12-28,Raipur,Chhattisgarh,Romance / Matrimonial Scam,medium,21.25914,81.61563,"Victim developed an online relationship with a profile that later requested money for a claimed emergency, travel, or customs issue."
I4C-00177,2024-10-02,Kanpur Nagar,Uttar Pradesh,Loan App Harassment,medium,26.4957,80.31154,Victim took a small loan via an unregistered instant-loan app and was later harassed with morphed images sent to their contacts.
I4C-00178,2025-05-05,Howrah,West Bengal,Online Financial Fraud (UPI/Card/Net-banking),medium,22.62051,88.23576,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00179,2023-02-15,New Delhi,Delhi,Online Financial Fraud (UPI/Card/Net-banking),medium,28.65345,77.1722,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00180,2025-04-26,Bengaluru Urban,Karnataka,Loan App Harassment,medium,12.97831,77.57497,Victim took a small loan via an unregistered instant-loan app and was later harassed with morphed images sent to their contacts.
I4C-00181,2023-10-03,Ghaziabad,Uttar Pradesh,KYC Update Fraud,medium,28.67811,77.42422,Victim received a message claiming their bank/SIM KYC had expired and shared OTP/credentials on a fraudulent link or call.
I4C-00182,2023-10-24,Bengaluru Urban,Karnataka,Job Fraud / Work-From-Home Scam,low,13.00175,77.61535,Victim responded to a work-from-home task-based job offer and was asked to pay a registration or task-completion fee.
I4C-00183,2024-12-18,Chandigarh,Chandigarh,Online Financial Fraud (UPI/Card/Net-banking),low,30.76152,76.7696,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00184,2023-12-05,Ghaziabad,Uttar Pradesh,Loan App Harassment,medium,28.67705,77.46399,Victim took a small loan via an unregistered instant-loan app and was later harassed with morphed images sent to their contacts.
I4C-00185,2023-08-03,Faridabad,Haryana,Investment / Trading Scam,medium,28.3633,77.32095,Victim was added to a trading/investment group promising high guaranteed returns and lost funds after transferring an initial deposit.
I4C-00186,2025-11-04,Bengaluru Urban,Karnataka,Online Financial Fraud (UPI/Card/Net-banking),low,12.97669,77.63869,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00187,2023-04-10,Agra,Uttar Pradesh,Job Fraud / Work-From-Home Scam,low,27.16822,78.01942,Victim responded to a work-from-home task-based job offer and was asked to pay a registration or task-completion fee.
I4C-00188,2025-06-13,Dehradun,Uttarakhand,Loan App Harassment,medium,30.33893,78.02999,Victim took a small loan via an unregistered instant-loan app and was later harassed with morphed images sent to their contacts.
I4C-00189,2023-08-04,Jaipur,Rajasthan,Job Fraud / Work-From-Home Scam,low,26.90893,75.81148,Victim responded to a work-from-home task-based job offer and was asked to pay a registration or task-completion fee.
I4C-00190,2024-06-23,Hyderabad,Telangana,Phishing (Email/SMS/Voice),critical,17.3994,78.44903,Victim received a deceptive email/SMS impersonating a bank or government body and submitted credentials on a fake site.
I4C-00191,2025-12-07,Kolkata,West Bengal,Investment / Trading Scam,high,22.5492,88.36928,Victim was added to a trading/investment group promising high guaranteed returns and lost funds after transferring an initial deposit.
I4C-00192,2025-11-05,Guwahati,Assam,Phishing (Email/SMS/Voice),low,26.12406,91.77906,Victim received a deceptive email/SMS impersonating a bank or government body and submitted credentials on a fake site.
I4C-00193,2024-10-31,Bengaluru Urban,Karnataka,Courier / Parcel Scam,critical,12.94764,77.56821,"Fraudulent call claimed a parcel addressed to the victim was intercepted at customs containing prohibited items, demanding a clearance fee."
I4C-00194,2025-08-19,Hyderabad,Telangana,Investment / Trading Scam,high,17.37387,78.49682,Victim was added to a trading/investment group promising high guaranteed returns and lost funds after transferring an initial deposit.
I4C-00195,2024-04-23,New Delhi,Delhi,Digital Arrest / Impersonation of Law Enforcement,critical,28.61696,77.15964,"Victim received a video call from a caller impersonating a police/customs officer alleging a parcel or legal case in their name, and was pressured into transferring funds under threat of arrest."
I4C-00196,2023-12-18,Noida (Gautam Buddh Nagar),Uttar Pradesh,KYC Update Fraud,low,28.51628,77.3622,Victim received a message claiming their bank/SIM KYC had expired and shared OTP/credentials on a fraudulent link or call.
I4C-00197,2023-10-18,Belagavi,Karnataka,Cyberbullying / Online Harassment,medium,15.80239,74.45837,Victim reported sustained online harassment or defamatory content posted about them.
I4C-00198,2023-05-19,Madurai,Tamil Nadu,SIM Swap Fraud,low,9.87829,78.08364,"Victim's SIM was fraudulently ported/duplicated, resulting in loss of mobile network access and unauthorized OTP-based transactions."
I4C-00199,2025-12-29,Howrah,West Bengal,Investment / Trading Scam,high,22.55238,88.27265,Victim was added to a trading/investment group promising high guaranteed returns and lost funds after transferring an initial deposit.
I4C-00200,2023-08-08,Gurugram,Haryana,Social Media Account Takeover,critical,28.41609,77.06338,Victim's social media account was compromised and used to solicit money from their contacts.
I4C-00201,2023-06-29,Hyderabad,Telangana,Ransomware / Malware,high,17.35532,78.44009,Victim's device/files were encrypted or accessed by malicious software demanding a ransom payment.
I4C-00202,2024-08-26,Patna,Bihar,Digital Arrest / Impersonation of Law Enforcement,medium,25.60725,85.11634,"Victim received a video call from a caller impersonating a police/customs officer alleging a parcel or legal case in their name, and was pressured into transferring funds under threat of arrest."
I4C-00203,2025-01-23,Mumbai,Maharashtra,Online Financial Fraud (UPI/Card/Net-banking),low,19.06838,72.82979,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00204,2023-03-05,Thiruvananthapuram,Kerala,Job Fraud / Work-From-Home Scam,low,8.55102,76.9468,Victim responded to a work-from-home task-based job offer and was asked to pay a registration or task-completion fee.
I4C-00205,2023-04-09,Ahmedabad,Gujarat,Digital Arrest / Impersonation of Law Enforcement,medium,22.97562,72.57326,"Victim received a video call from a caller impersonating a police/customs officer alleging a parcel or legal case in their name, and was pressured into transferring funds under threat of arrest."
I4C-00206,2023-12-15,Lucknow,Uttar Pradesh,Digital Arrest / Impersonation of Law Enforcement,high,26.81836,80.98242,"Victim received a video call from a caller impersonating a police/customs officer alleging a parcel or legal case in their name, and was pressured into transferring funds under threat of arrest."
I4C-00207,2024-12-13,Thane,Maharashtra,Courier / Parcel Scam,low,19.22066,72.95693,"Fraudulent call claimed a parcel addressed to the victim was intercepted at customs containing prohibited items, demanding a clearance fee."
I4C-00208,2024-12-12,New Delhi,Delhi,Online Financial Fraud (UPI/Card/Net-banking),medium,28.61305,77.23868,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00209,2024-04-19,Bhubaneswar,Odisha,Online Financial Fraud (UPI/Card/Net-banking),high,20.29761,85.8323,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00210,2023-08-03,New Delhi,Delhi,Digital Arrest / Impersonation of Law Enforcement,high,28.57489,77.22265,"Victim received a video call from a caller impersonating a police/customs officer alleging a parcel or legal case in their name, and was pressured into transferring funds under threat of arrest."
I4C-00211,2023-06-26,Varanasi,Uttar Pradesh,Investment / Trading Scam,high,25.30316,82.96403,Victim was added to a trading/investment group promising high guaranteed returns and lost funds after transferring an initial deposit.
I4C-00212,2025-10-23,Nagpur,Maharashtra,Online Financial Fraud (UPI/Card/Net-banking),medium,21.16039,79.07539,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00213,2023-03-11,Dakshina Kannada (Mangaluru),Karnataka,Ransomware / Malware,low,12.96234,74.86907,Victim's device/files were encrypted or accessed by malicious software demanding a ransom payment.
I4C-00214,2024-10-24,Mumbai,Maharashtra,Lottery / Prize Scam,medium,19.05867,72.84323,Victim received notification of winning a lottery/prize and was asked to pay a processing or tax fee to release it.
I4C-00215,2025-08-04,Dakshina Kannada (Mangaluru),Karnataka,KYC Update Fraud,low,12.90798,74.88334,Victim received a message claiming their bank/SIM KYC had expired and shared OTP/credentials on a fraudulent link or call.
I4C-00216,2023-11-13,Agra,Uttar Pradesh,Online Financial Fraud (UPI/Card/Net-banking),high,27.19636,78.00887,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00217,2024-04-28,Kolkata,West Bengal,KYC Update Fraud,medium,22.62008,88.38622,Victim received a message claiming their bank/SIM KYC had expired and shared OTP/credentials on a fraudulent link or call.
I4C-00218,2023-07-28,Mumbai,Maharashtra,Courier / Parcel Scam,low,19.04493,72.92521,"Fraudulent call claimed a parcel addressed to the victim was intercepted at customs containing prohibited items, demanding a clearance fee."
I4C-00219,2024-07-14,Hyderabad,Telangana,Online Financial Fraud (UPI/Card/Net-banking),low,17.3501,78.45153,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00220,2023-03-11,Hyderabad,Telangana,Online Financial Fraud (UPI/Card/Net-banking),medium,17.3988,78.44739,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00221,2024-08-29,Bengaluru Urban,Karnataka,Online Financial Fraud (UPI/Card/Net-banking),critical,13.00703,77.58825,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00222,2025-05-30,New Delhi,Delhi,Investment / Trading Scam,high,28.57808,77.21937,Victim was added to a trading/investment group promising high guaranteed returns and lost funds after transferring an initial deposit.
I4C-00223,2024-04-13,Madurai,Tamil Nadu,Lottery / Prize Scam,medium,9.93394,78.13452,Victim received notification of winning a lottery/prize and was asked to pay a processing or tax fee to release it.
I4C-00224,2023-07-20,Chennai,Tamil Nadu,Online Financial Fraud (UPI/Card/Net-banking),medium,13.09685,80.26609,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00225,2025-05-17,Gurugram,Haryana,Courier / Parcel Scam,low,28.43374,77.01661,"Fraudulent call claimed a parcel addressed to the victim was intercepted at customs containing prohibited items, demanding a clearance fee."
I4C-00226,2024-01-10,New Delhi,Delhi,Loan App Harassment,medium,28.56587,77.24485,Victim took a small loan via an unregistered instant-loan app and was later harassed with morphed images sent to their contacts.
I4C-00227,2023-08-06,Gurugram,Haryana,Lottery / Prize Scam,high,28.44231,76.97766,Victim received notification of winning a lottery/prize and was asked to pay a processing or tax fee to release it.
I4C-00228,2025-11-29,Bengaluru Urban,Karnataka,Romance / Matrimonial Scam,critical,12.97594,77.56068,"Victim developed an online relationship with a profile that later requested money for a claimed emergency, travel, or customs issue."
I4C-00229,2023-02-02,Mumbai,Maharashtra,Online Financial Fraud (UPI/Card/Net-banking),medium,19.11072,72.87338,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00230,2024-03-06,Meerut,Uttar Pradesh,Investment / Trading Scam,critical,29.0174,77.70857,Victim was added to a trading/investment group promising high guaranteed returns and lost funds after transferring an initial deposit.
I4C-00231,2024-12-29,Raipur,Chhattisgarh,Cyberbullying / Online Harassment,high,21.21978,81.63098,Victim reported sustained online harassment or defamatory content posted about them.
I4C-00232,2024-12-22,Meerut,Uttar Pradesh,Digital Arrest / Impersonation of Law Enforcement,high,28.95975,77.69458,"Victim received a video call from a caller impersonating a police/customs officer alleging a parcel or legal case in their name, and was pressured into transferring funds under threat of arrest."
I4C-00233,2024-03-24,Ghaziabad,Uttar Pradesh,Investment / Trading Scam,critical,28.63013,77.43415,Victim was added to a trading/investment group promising high guaranteed returns and lost funds after transferring an initial deposit.
I4C-00234,2023-05-22,Dehradun,Uttarakhand,Online Financial Fraud (UPI/Card/Net-banking),critical,30.36259,78.02841,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00235,2023-10-27,Surat,Gujarat,KYC Update Fraud,low,21.18363,72.82802,Victim received a message claiming their bank/SIM KYC had expired and shared OTP/credentials on a fraudulent link or call.
I4C-00236,2024-08-25,Mumbai,Maharashtra,Sextortion,medium,19.08988,72.90957,Victim was coerced into payment after fraudster obtained or fabricated compromising content and threatened to circulate it.
I4C-00237,2024-04-16,Jodhpur,Rajasthan,Job Fraud / Work-From-Home Scam,high,26.25386,73.05228,Victim responded to a work-from-home task-based job offer and was asked to pay a registration or task-completion fee.
I4C-00238,2024-07-29,Hyderabad,Telangana,Investment / Trading Scam,medium,17.37261,78.46205,Victim was added to a trading/investment group promising high guaranteed returns and lost funds after transferring an initial deposit.
I4C-00239,2023-06-24,Mumbai,Maharashtra,Job Fraud / Work-From-Home Scam,medium,19.09144,72.85973,Victim responded to a work-from-home task-based job offer and was asked to pay a registration or task-completion fee.
I4C-00240,2024-10-26,Chennai,Tamil Nadu,Lottery / Prize Scam,low,13.06894,80.31357,Victim received notification of winning a lottery/prize and was asked to pay a processing or tax fee to release it.
I4C-00241,2023-01-24,Ahmedabad,Gujarat,KYC Update Fraud,low,22.98654,72.60453,Victim received a message claiming their bank/SIM KYC had expired and shared OTP/credentials on a fraudulent link or call.
I4C-00242,2024-04-23,Hyderabad,Telangana,KYC Update Fraud,medium,17.3422,78.466,Victim received a message claiming their bank/SIM KYC had expired and shared OTP/credentials on a fraudulent link or call.
I4C-00243,2025-12-30,Dakshina Kannada (Mangaluru),Karnataka,Online Financial Fraud (UPI/Card/Net-banking),medium,12.9093,74.88449,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00244,2024-08-31,Dakshina Kannada (Mangaluru),Karnataka,Romance / Matrimonial Scam,medium,12.95321,74.86684,"Victim developed an online relationship with a profile that later requested money for a claimed emergency, travel, or customs issue."
I4C-00245,2023-08-28,Hyderabad,Telangana,Courier / Parcel Scam,medium,17.40428,78.48978,"Fraudulent call claimed a parcel addressed to the victim was intercepted at customs containing prohibited items, demanding a clearance fee."
I4C-00246,2023-04-30,Noida (Gautam Buddh Nagar),Uttar Pradesh,Online Financial Fraud (UPI/Card/Net-banking),medium,28.51195,77.36442,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00247,2023-01-14,New Delhi,Delhi,Online Financial Fraud (UPI/Card/Net-banking),low,28.65445,77.22904,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00248,2025-08-11,Belagavi,Karnataka,Job Fraud / Work-From-Home Scam,low,15.83177,74.51729,Victim responded to a work-from-home task-based job offer and was asked to pay a registration or task-completion fee.
I4C-00249,2023-02-28,Mumbai,Maharashtra,Digital Arrest / Impersonation of Law Enforcement,medium,19.06788,72.92376,"Victim received a video call from a caller impersonating a police/customs officer alleging a parcel or legal case in their name, and was pressured into transferring funds under threat of arrest."
I4C-00250,2023-07-12,Bengaluru Urban,Karnataka,Cryptocurrency Fraud,high,12.92619,77.61825,Victim invested through a fraudulent cryptocurrency platform or wallet and was unable to withdraw funds.
I4C-00251,2023-09-17,New Delhi,Delhi,Digital Arrest / Impersonation of Law Enforcement,high,28.61237,77.24876,"Victim received a video call from a caller impersonating a police/customs officer alleging a parcel or legal case in their name, and was pressured into transferring funds under threat of arrest."
I4C-00252,2024-03-07,Mumbai,Maharashtra,Job Fraud / Work-From-Home Scam,medium,19.11217,72.86432,Victim responded to a work-from-home task-based job offer and was asked to pay a registration or task-completion fee.
I4C-00253,2025-10-08,Warangal,Telangana,Digital Arrest / Impersonation of Law Enforcement,high,17.9626,79.57546,"Victim received a video call from a caller impersonating a police/customs officer alleging a parcel or legal case in their name, and was pressured into transferring funds under threat of arrest."
I4C-00254,2025-10-05,Pune,Maharashtra,Job Fraud / Work-From-Home Scam,critical,18.52077,73.83387,Victim responded to a work-from-home task-based job offer and was asked to pay a registration or task-completion fee.
I4C-00255,2023-06-29,Ahmedabad,Gujarat,Online Financial Fraud (UPI/Card/Net-banking),medium,23.00559,72.55311,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00256,2023-04-12,Ahmedabad,Gujarat,Phishing (Email/SMS/Voice),medium,22.97651,72.59367,Victim received a deceptive email/SMS impersonating a bank or government body and submitted credentials on a fake site.
I4C-00257,2023-05-04,Pune,Maharashtra,Sextortion,medium,18.48125,73.81134,Victim was coerced into payment after fraudster obtained or fabricated compromising content and threatened to circulate it.
I4C-00258,2023-06-19,Ahmedabad,Gujarat,KYC Update Fraud,medium,23.06348,72.58257,Victim received a message claiming their bank/SIM KYC had expired and shared OTP/credentials on a fraudulent link or call.
I4C-00259,2024-01-07,Hyderabad,Telangana,Romance / Matrimonial Scam,low,17.4017,78.48249,"Victim developed an online relationship with a profile that later requested money for a claimed emergency, travel, or customs issue."
I4C-00260,2023-10-12,Chandigarh,Chandigarh,Cyberbullying / Online Harassment,low,30.72546,76.73946,Victim reported sustained online harassment or defamatory content posted about them.
I4C-00261,2024-10-14,Ahmedabad,Gujarat,Online Financial Fraud (UPI/Card/Net-banking),medium,23.02871,72.5472,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00262,2025-12-05,Bengaluru Urban,Karnataka,Social Media Account Takeover,medium,12.97823,77.60243,Victim's social media account was compromised and used to solicit money from their contacts.
I4C-00263,2025-07-03,Bengaluru Urban,Karnataka,KYC Update Fraud,high,12.93348,77.62563,Victim received a message claiming their bank/SIM KYC had expired and shared OTP/credentials on a fraudulent link or call.
I4C-00264,2023-11-15,Bengaluru Urban,Karnataka,Cryptocurrency Fraud,medium,12.9896,77.60399,Victim invested through a fraudulent cryptocurrency platform or wallet and was unable to withdraw funds.
I4C-00265,2023-11-07,New Delhi,Delhi,SIM Swap Fraud,low,28.60514,77.1692,"Victim's SIM was fraudulently ported/duplicated, resulting in loss of mobile network access and unauthorized OTP-based transactions."
I4C-00266,2023-06-30,Varanasi,Uttar Pradesh,Courier / Parcel Scam,critical,25.3103,82.92483,"Fraudulent call claimed a parcel addressed to the victim was intercepted at customs containing prohibited items, demanding a clearance fee."
I4C-00267,2025-07-12,Hyderabad,Telangana,Online Financial Fraud (UPI/Card/Net-banking),medium,17.34713,78.48393,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
I4C-00268,2023-10-24,Howrah,West Bengal,Romance / Matrimonial Scam,high,22.56454,88.21861,"Victim developed an online relationship with a profile that later requested money for a claimed emergency, travel, or customs issue."
I4C-00269,2024-06-04,Kolkata,West Bengal,Courier / Parcel Scam,medium,22.53103,88.37676,"Fraudulent call claimed a parcel addressed to the victim was intercepted at customs containing prohibited items, demanding a clearance fee."
I4C-00270,2023-06-13,Thiruvananthapuram,Kerala,Digital Arrest / Impersonation of Law Enforcement,high,8.47937,76.8898,"Victim received a video call from a caller impersonating a police/customs officer alleging a parcel or legal case in their name, and was pressured into transferring funds under threat of arrest."
I4C-00271,2023-05-03,Pune,Maharashtra,Online Shopping / E-commerce Fraud,high,18.50165,73.86671,"Victim did not receive goods ordered from a fraudulent e-commerce listing, or a fake refund process was used to extract further payment."
I4C-00272,2023-08-28,Mumbai,Maharashtra,Job Fraud / Work-From-Home Scam,low,19.12088,72.90048,Victim responded to a work-from-home task-based job offer and was asked to pay a registration or task-completion fee.
I4C-00273,2025-07-16,Mumbai,Maharashtra,Investment / Trading Scam,medium,19.09049,72.89067,Victim was added to a trading/investment group promising high guaranteed returns and lost funds after transferring an initial deposit.
I4C-00274,2024-11-11,Visakhapatnam,Andhra Pradesh,Online Financial Fraud (UPI/Card/Net-banking),low,17.71526,83.22518,Unauthorized transaction reported after victim shared card/UPI details or clicked a payment link received via SMS/WhatsApp.
